N,L,r,num_samples,model,gens,ancestors
1000000.0,1000000.0,1e-08,10000,10,1,10059
1000000.0,1000000.0,1e-08,10000,10,1,10078
1000000.0,1000000.0,1e-08,10000,10,1,10076
1000000.0,1000000.0,1e-08,10000,10,1,10089
1000000.0,1000000.0,1e-08,10000,10,1,10086
1000000.0,1000000.0,1e-08,10000,10,1,10072
1000000.0,1000000.0,1e-08,10000,10,1,10072
1000000.0,1000000.0,1e-08,10000,10,1,10060
1000000.0,1000000.0,1e-08,10000,10,1,10058
1000000.0,1000000.0,1e-08,10000,10,1,10089
1000000.0,1000000.0,1e-08,10000,10,1,10071
1000000.0,1000000.0,1e-08,10000,10,1,10079
1000000.0,1000000.0,1e-08,10000,10,1,10051
1000000.0,1000000.0,1e-08,10000,10,1,10084
1000000.0,1000000.0,1e-08,10000,10,1,10094
1000000.0,1000000.0,1e-08,10000,10,1,10071
1000000.0,1000000.0,1e-08,10000,10,1,10075
1000000.0,1000000.0,1e-08,10000,100,1,10085
1000000.0,1000000.0,1e-08,10000,10,1,10097
1000000.0,1000000.0,1e-08,10000,10,1,10055
1000000.0,1000000.0,1e-08,10000,100,1,10062
1000000.0,1000000.0,1e-08,10000,10,1,10070
1000000.0,1000000.0,1e-08,10000,10,1,10094
1000000.0,1000000.0,1e-08,10000,100,1,10075
1000000.0,1000000.0,1e-08,10000,10,1,10066
1000000.0,1000000.0,1e-08,10000,10,1,10078
1000000.0,1000000.0,1e-08,10000,10,1,10067
1000000.0,1000000.0,1e-08,10000,10,1,10090
1000000.0,1000000.0,1e-08,10000,100,1,10082
1000000.0,1000000.0,1e-08,10000,100,1,10067
1000000.0,1000000.0,1e-08,10000,100,1,10079
1000000.0,1000000.0,1e-08,10000,100,1,10066
1000000.0,1000000.0,1e-08,10000,100,1,10072
1000000.0,1000000.0,1e-08,10000,100,1,10057
1000000.0,1000000.0,1e-08,10000,100,1,10073
1000000.0,1000000.0,1e-08,10000,100,1,10076
1000000.0,1000000.0,1e-08,10000,100,1,10091
1000000.0,1000000.0,1e-08,10000,100,1,10076
1000000.0,1000000.0,1e-08,10000,100,1,10076
1000000.0,1000000.0,1e-08,10000,100,1,10076
1000000.0,1000000.0,1e-08,10000,100,1,10079
1000000.0,1000000.0,1e-08,10000,100,1,10091
1000000.0,1000000.0,1e-08,10000,100,1,10086
1000000.0,1000000.0,1e-08,10000,100,1,10090
1000000.0,1000000.0,1e-08,10000,100,1,10059
1000000.0,1000000.0,1e-08,10000,100,1,10065
1000000.0,1000000.0,1e-08,10000,100,1,10088
1000000.0,1000000.0,1e-08,10000,1000,1,10076
1000000.0,1000000.0,1e-08,10000,1000,1,10071
1000000.0,1000000.0,1e-08,10000,1000,1,10099
1000000.0,1000000.0,1e-08,10000,100,1,10059
1000000.0,1000000.0,1e-08,10000,1000,1,10085
1000000.0,1000000.0,1e-08,10000,1000,1,10077
1000000.0,1000000.0,1e-08,10000,100,1,10073
1000000.0,1000000.0,1e-08,10000,1000,1,10059
1000000.0,1000000.0,1e-08,10000,1000,1,10057
1000000.0,1000000.0,1e-08,10000,100,1,10073
1000000.0,1000000.0,1e-08,10000,1000,1,10076
1000000.0,1000000.0,1e-08,10000,1000,1,10067
1000000.0,1000000.0,1e-08,10000,1000,1,10072
1000000.0,1000000.0,1e-08,10000,1000,1,10084
1000000.0,1000000.0,1e-08,10000,1000,1,10081
1000000.0,1000000.0,1e-08,10000,1000,1,10058
1000000.0,1000000.0,1e-08,10000,1000,1,10077
1000000.0,1000000.0,1e-08,10000,1000,1,10075
1000000.0,1000000.0,1e-08,10000,1000,1,10062
1000000.0,1000000.0,1e-08,10000,1000,1,10078
1000000.0,1000000.0,1e-08,10000,1000,1,10072
1000000.0,1000000.0,1e-08,10000,1000,1,10065
1000000.0,1000000.0,1e-08,10000,1000,1,10059
1000000.0,1000000.0,1e-08,10000,1000,1,10044
1000000.0,1000000.0,1e-08,10000,1000,1,10072
1000000.0,1000000.0,1e-08,10000,1000,1,10073
1000000.0,1000000.0,1e-08,10000,1000,1,10080
1000000.0,1000000.0,1e-08,10000,10000,1,10073
1000000.0,1000000.0,1e-08,10000,1000,1,10051
1000000.0,1000000.0,1e-08,10000,10000,1,10092
1000000.0,1000000.0,1e-08,10000,10000,1,10073
1000000.0,1000000.0,1e-08,10000,10000,1,10066
1000000.0,1000000.0,1e-08,10000,10000,1,10078
1000000.0,1000000.0,1e-08,10000,10000,1,10078
1000000.0,1000000.0,1e-08,10000,10000,1,10086
1000000.0,1000000.0,1e-08,10000,10000,1,10097
1000000.0,1000000.0,1e-08,10000,10000,1,10088
1000000.0,1000000.0,1e-08,10000,10000,1,10047
1000000.0,1000000.0,1e-08,10000,10000,1,10070
1000000.0,1000000.0,1e-08,10000,10000,1,10081
1000000.0,1000000.0,1e-08,10000,10000,1,10080
1000000.0,1000000.0,1e-08,10000,10000,1,10084
1000000.0,1000000.0,1e-08,10000,10000,1,10067
1000000.0,1000000.0,1e-08,10000,10000,1,10067
1000000.0,1000000.0,1e-08,10000,10000,1,10086
1000000.0,1000000.0,1e-08,10000,10000,1,10069
1000000.0,1000000.0,1e-08,10000,10000,1,10080
1000000.0,1000000.0,1e-08,10000,10000,1,10062
1000000.0,1000000.0,1e-08,10000,10000,1,10086
1000000.0,1000000.0,1e-08,10000,10000,1,10083
1000000.0,1000000.0,1e-08,10000,10000,1,10079
1000000.0,1000000.0,1e-08,10000,10000,1,10068
1000000.0,1000000.0,1e-08,10000,10000,1,10065
1000000.0,1000000.0,1e-08,10000,100000,1,10085
1000000.0,1000000.0,1e-08,10000,100000,1,10068
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10084
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10075
1000000.0,1000000.0,1e-08,10000,100000,1,10079
1000000.0,1000000.0,1e-08,10000,100000,1,10060
1000000.0,1000000.0,1e-08,10000,100000,1,10066
1000000.0,1000000.0,1e-08,10000,100000,1,10072
1000000.0,1000000.0,1e-08,10000,100000,1,10054
1000000.0,1000000.0,1e-08,10000,100000,1,10085
1000000.0,1000000.0,1e-08,10000,100000,1,10101
1000000.0,1000000.0,1e-08,10000,100000,1,10068
1000000.0,1000000.0,1e-08,10000,100000,1,10062
1000000.0,1000000.0,1e-08,10000,100000,1,10069
1000000.0,1000000.0,1e-08,10000,100000,1,10089
1000000.0,1000000.0,1e-08,10000,100000,1,10069
1000000.0,1000000.0,1e-08,10000,1000000,1,10052
1000000.0,1000000.0,1e-08,10000,100000,1,10081
1000000.0,1000000.0,1e-08,10000,100000,1,10078
1000000.0,1000000.0,1e-08,10000,100000,1,10080
1000000.0,1000000.0,1e-08,10000,100000,1,10081
1000000.0,1000000.0,1e-08,10000,100000,1,10075
1000000.0,1000000.0,1e-08,10000,100000,1,10070
1000000.0,1000000.0,1e-08,10000,100000,1,10045
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10076
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10082
1000000.0,1000000.0,1e-08,10000,1000000,1,10078
1000000.0,1000000.0,1e-08,10000,1000000,1,10063
1000000.0,1000000.0,1e-08,10000,1000000,1,10071
1000000.0,1000000.0,1e-08,10000,1000000,1,10082
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10074
1000000.0,1000000.0,1e-08,10000,1000000,1,10084
1000000.0,1000000.0,1e-08,10000,1000000,1,10074
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10068
1000000.0,1000000.0,1e-08,10000,1000000,1,10080
1000000.0,1000000.0,1e-08,10000,1000000,1,10077
1000000.0,1000000.0,1e-08,10000,1000000,1,10075
1000000.0,1000000.0,1e-08,10000,smc_k,1,10083
1000000.0,1000000.0,1e-08,10000,1000000,1,10078
1000000.0,1000000.0,1e-08,10000,1000000,1,10070
1000000.0,1000000.0,1e-08,10000,smc_k,1,10089
1000000.0,1000000.0,1e-08,10000,1000000,1,10065
1000000.0,1000000.0,1e-08,10000,1000000,1,10085
1000000.0,1000000.0,1e-08,10000,smc_k,1,10110
1000000.0,1000000.0,1e-08,10000,smc_k,1,10064
1000000.0,1000000.0,1e-08,10000,1000000,1,10060
1000000.0,1000000.0,1e-08,10000,smc_k,1,10072
1000000.0,1000000.0,1e-08,10000,smc_k,1,10079
1000000.0,1000000.0,1e-08,10000,smc_k,1,10079
1000000.0,1000000.0,1e-08,10000,smc_k,1,10088
1000000.0,1000000.0,1e-08,10000,smc_k,1,10082
1000000.0,1000000.0,1e-08,10000,smc_k,1,10077
1000000.0,1000000.0,1e-08,10000,smc_k,1,10076
1000000.0,1000000.0,1e-08,10000,smc_k,1,10077
1000000.0,1000000.0,1e-08,10000,smc_k,1,10073
1000000.0,1000000.0,1e-08,10000,smc_k,1,10070
1000000.0,1000000.0,1e-08,10000,smc_k,1,10082
1000000.0,1000000.0,1e-08,10000,smc_k,1,10081
1000000.0,1000000.0,1e-08,10000,smc_k,1,10094
1000000.0,1000000.0,1e-08,10000,smc_k,1,10063
1000000.0,1000000.0,1e-08,10000,smc_k,1,10067
1000000.0,1000000.0,1e-08,10000,smc_k,1,10072
