population_size,num_samples,r,seq_len,model,d,t1,t2
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4289081.328921308,4289081.328921308
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1371280.049840203,1371280.049840203
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5891861.368300362,5891861.368300362
1000000.0,2,1e-08,1000000.0,smck_10,1.0,373697.5305711002,373697.5305711002
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3591994.1385225933,3591994.1385225933
1000000.0,2,1e-08,1000000.0,smck_10,1.0,7253504.57334677,7253504.57334677
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1262956.885343904,1262956.885343904
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1223133.3775473898,1223133.3775473898
1000000.0,2,1e-08,1000000.0,smck_10,1.0,250577.6247915476,250577.6247915476
1000000.0,2,1e-08,1000000.0,smck_10,1.0,363524.3767609967,363524.3767609967
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1783857.9923244028,1783857.9923244028
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1093267.6039640983,1093267.6039640983
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1414064.1191886037,1414064.1191886037
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3711159.714893194,3711159.714893194
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5568858.733169693,5568858.733169693
1000000.0,2,1e-08,1000000.0,smck_10,1.0,533457.550606639,533457.550606639
1000000.0,2,1e-08,1000000.0,smck_10,1.0,138403.5416803244,138403.5416803244
1000000.0,2,1e-08,1000000.0,smck_10,1.0,781265.5678720671,781265.5678720671
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1466358.6706388786,1466358.6706388786
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2008256.5048241252,2008256.5048241252
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1685895.5782503074,1685895.5782503074
1000000.0,2,1e-08,1000000.0,smck_10,1.0,8473165.394892966,8473165.394892966
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1149086.2591921648,1149086.2591921648
1000000.0,2,1e-08,1000000.0,smck_10,1.0,614812.3779813952,614812.3779813952
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5774602.95885992,5774602.95885992
1000000.0,2,1e-08,1000000.0,smck_10,1.0,216404.9953838152,216404.9953838152
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2801170.5862123156,2801170.5862123156
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5353609.298513566,5353609.298513566
1000000.0,2,1e-08,1000000.0,smck_10,1.0,985654.8751003904,985654.8751003904
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2971235.3427192923,792287.8372590061
